,chinese,english
305,我是個男人。,I am a man.
306,我個頭矮。,I am short.
307,我會做飯。,I can cook.
308,我會游泳。,I can swim.
309,我不能走。,I can't go.
310,我走不了。,I can't go.
311,我嚼口香糖。,I chew gum.
312,我在這裡吃。,I eat here.
313,我嫉妒她。,I envy her.
314,我羨慕他。,I envy him.
315,我很難過。,I feel sad.
316,我恨你。,I hate you.
317,我聽到了。,I heard it.
318,我認識湯姆。,I know Tom.
319,我認識他。,I know him.
320,我喜歡茶。,I like tea.
321,我喜歡你。,I like you.
322,我喜歡你。,I like you.
323,我喜歡你！,I like you.
324,我愛她。,I love her.
325,我愛您。,I love you.
326,我想念他。,I miss him.
327,我想你。,I miss you.
328,我想念你。,I miss you.
329,我需要你。,I need you.
330,我答應了。,I promised.
331,我想是這樣的。,I think so.
332,我使用這個。,I use this.
333,我想要你。,I want you.
334,我會做的。,I'll do it.
335,我現在30歲了。,I'm 30 now.
336,我是個英雄。,I'm a hero.
337,我是個騙子。,I'm a liar.
338,我買了。,I'm buying.
339,我來啦。,I'm coming.
340,我正在吃東西。,I'm eating.
341,我更快。,I'm faster.
342,我是謙虛的。,I'm humble.
343,我單身。,I'm single.
344,我單身。,I'm single.
345,我困了。,I'm sleepy.
346,我好胖哦。,I'm so fat.
347,我三十歲。,I'm thirty.
348,我十二歲了。,I'm twelve.
349,別理湯姆。,Ignore Tom.
350,他長得高嗎？,Is he tall?
351,那是愛嗎？,Is it love?
352,是真的嗎？,Is it true?
353,現在是七點四十五分。,It is 7:45.
354,現在是7點45分。,It is 7:45.
355,真是太好了。,It's great.
356,是晚上了。,It's night.
357,不對。,It's wrong.
358,放鬆點吧。,Just relax.
359,堅持。,Keep it up!
360,堅持。,Keep it up.
361,保持安靜！,Keep quiet!
362,保持安靜！,Keep quiet.
363,讓他進來。,Let him in.
364,讓我去死。,Let me die.
365,讓我想一想。,Let me see.
366,讓我試試。,Let me try.
367,讓我來。,Let me try.
368,讓我們玩耍吧。,Let's play.
369,讓我們開始祈禱吧。,Let's pray.
370,我們走走吧。,Let's walk.
371,看那裡。,Look there.
372,無可奉告。,No comment.
373,真的？,No kidding?
374,認真的？,No kidding?
375,沒問題！,No problem!
376,沒關係。,No problem.
377,沒問題。,No problem.
378,沒事。,No problem.
379,噢，真的嗎?,"Oh, really?"
380,再一次。,Once again.
381,請用座。,Please sit.
382,她笑了。,She smiled.
383,往後站！,Stand back!
384,保持警惕。,Stay sharp.
385,別動。,Stay still.
386,留在這裡別動。,Stay there.
387,讓開。,Step aside.
388,快一點！,Step on it!
389,好好學習。,Study hard.
390,真疼。,That hurts.
391,奇怪。,That's odd.
392,那是溼的。,That's wet.
393,時光飛逝。,Time flies.
394,時間匆匆經過。,Time flies.
395,湯姆失敗了。,Tom failed.
396,湯姆生病了。,Tom is ill.
397,湯姆病了。,Tom is ill.
398,湯姆害羞。,Tom is shy.
399,湯姆笑了。,Tom smiled.
400,湯姆打哈欠了。,Tom yawned.
401,湯姆生病了。,Tom's sick.
402,湯姆病了。,Tom's sick.
403,向右轉。,Turn right.
404,我們笑了。,We laughed.
405,我們失去了它。,We lost it.
406,我們會做飯的。,We'll cook.
407,我們是男孩。,We're boys.
408,我們遲到了。,We're late.
409,它是什麼？,What is it?
410,有什麼新鮮事嗎？,What's new?
411,我在哪裡？,Where am I?
412,這是什麼地方?,Where am I?
413,我們是誰？,Who are we?
414,湯姆是誰？,Who is Tom?
415,她是誰？,Who is she?
416,下一個是誰？,Who's next?
417,這是誰啊？,Who's that?
418,木材可燃。,Wood burns.
419,您可以走了。,You can go.
420,你可以去了。,You can go.
421,算你狠。,You got me.
422,您可以走了。,You may go.
423,你可以去了。,You may go.
424,我們完成了嗎？,Are we done?
425,你是湯姆嗎？,Are you Tom?
426,您生氣了嗎？,Are you mad?
427,你生氣了嗎？,Are you mad?
428,你是新來的嗎？,Are you new?
429,你傷心嗎？,Are you sad?
430,你在難過嗎？,Are you sad?
431,友善點。,Be friendly.
432,友好點。,Be friendly.
433,要守時！,Be punctual.
434,停手！,Break it up!
435,我可以開始了嗎？,Can I begin?
436,我可以開始了嗎？,Can I start?
437,你能看嗎？,Can you see?
438,進來。,Come inside.
439,算我一個.,Count me in.
440,湯姆贏了嗎？,Did Tom win?
441,按我說的做。,Do as I say.
442,別笑！,Don't laugh.
443,別走！,Don't leave!
444,不要恐慌！,Don't panic!
445,停火。,Don't shoot.
446,不許大叫。,Don't shout.
447,不要微笑。,Don't smile.
448,你不要著急。,Don't worry.
449,別擔心。,Don't worry.
450,別擔心。,Don't worry.
451,你穿點東西。,Get dressed.
452,認真點。,Get serious.
453,請看一看。,Have a look.
454,他獨自一人。,He is alone.
455,他很忙。,He was busy.
456,他是個騙子。,He's a liar.
457,他很強壯。,He's strong.
458,我們到了！,Here we are!
459,這裡，快抓住。,"Here, catch!"
460,你們好嗎？,How are you?
461,你好嗎？,How are you?
462,真奇怪。,How curious!
463,多怪啊！,How curious!
464,生活怎麼樣？,How is life?
465,真奇怪。,How strange!
466,我也去了。,I also went.
467,我來了。,I am coming.
468,我上網了。,I am online.
469,我買磁帶。,I buy tapes.
470,我會開車。,I can drive.
471,我不能說。,I can't say.
472,我不說謊。,I don't lie.
473,我吃麵包。,I eat bread.
474,我覺得冷。,I feel cold.
475,我感覺很好。,I feel fine.
476,我有點噁心。,I feel sick.
477,我感到虛弱。,I feel weak.
478,我運氣很好。,I got lucky.
479,我討厭魚。,I hate fish.
480,我討厭酒。,I hate wine.
481,我有時間。,I have time.
482,我有酒。,I have wine.
483,我聽你的。,I heard you.
484,我喜歡藍色。,I like blue.
485,我喜歡魚。,I like fish.
486,我喜歡爵士樂。,I like jazz.
487,我喜歡他們。,I like them.
488,我喜歡葡萄酒。,I like wine.
489,我住在這。,I live here.
490,我住在這裡。,I live here.
491,我丟臉了。,I lost face.
492,我需要膠水。,I need glue.
493,我需要幫助。,I need help.
494,我睡過頭了。,I overslept.
495,我睡過頭了。,I overslept.
496,我讀唇語。,I read lips.
497,我是那樣說的。,I said that.
498,我聞到瓦斯味。,I smell gas.
499,我信賴他。,I trust him.
500,我信任他。,I trust him.
501,我信任你。,I trust you.
502,我想要更多。,I want more.
503,我煢煢孑立，形影相弔。,I was alone.
504,我運氣很好。,I was lucky.
505,我搞錯了。,I was wrong.
506,我想錯了。,I was wrong.
507,我也去了。,"I went, too."
508,我會聽從指示。,I will obey.
509,我在這裡工作。,I work here.
510,我會參加。,I'll attend.
511,我會進去。,I'll get in.
512,我也是17歲。,"I'm 17, too."
513,我是個不成器的人。,I'm a loser.
514,我是個輸家。,I'm a loser.
515,我是個奴隸。,I'm a slave.
516,我在家。,I'm at home.
517,我在家裡。,I'm at home.
518,我很好奇。,I'm curious.
519,我身體很好。,I'm healthy.
520,我受傷了。,I'm injured.
521,我開玩笑。,I'm kidding.
522,我結婚了。,I'm married.
523,我已婚。,I'm married.
524,我在祈禱。,I'm praying.
525,我在讀書。,I'm reading.
526,我很放鬆。,I'm relaxed.
527,我是認真的。,I'm serious.
528,我渴了。,I'm thirsty.
529,我受傷了。,I'm wounded.
530,湯姆在家裡嗎？,Is Tom home?
531,湯姆受傷了嗎？,Is Tom hurt?
532,湯姆是不是身體不太好？,Is Tom sick?
533,湯姆還好吧？,Is Tom well?
534,他對嗎？,Is he right?
535,好吃嗎？,Is it tasty?
536,這是你的嗎？,Is it yours?
537,這不可能！,It can't be!
538,不可能！,It can't be!
539,這是一個偽造品。,It's a fake.
540,這是我份內的事。,It's my job.
541,春天了,It's spring.
542,只要說不。,Just say no.
543,繼續努力。,Keep trying.
544,讓我知道。,Let me know.
545,讓我們開始吧。,Let's begin.
546,走吧。,Let's leave.
547,讓我們開始吧。,Let's start!
548,我們開始吧。,Let's start.
549,人生是有趣的。,Life is fun.
550,四處看看。,Look around.
551,午餐送到了。,Lunch is on.
552,列一個列表。,Make a list.
553,非常感謝！,Many thanks.
554,金錢萬能。,Money talks.
555,好時機。,Nice timing.
556,沒有人來了。,No one came.
557,行，你贏了。,"OK, you win."
558,好吧，你贏了。,"OK, you win."
559,好。我同意。,OK. I agree.
560,請來吧。,Please come.
561,請唱歌。,Please sing.
562,放開他。,Release him.
563,她咬了他。,She bit him.
564,她打了他。,She hit him.
565,我該去嗎?,Should I go?
566,讓他進來。,Show him in.
567,一邊站著。,Stand aside.
568,進來。,Step inside.
569,這就是生活。,That's life.
570,人生就是如此。,That's life.
571,那是我的。,That's mine.
572,那很棒。,That's neat.
573,這很軟。,That's soft.
574,那是豆腐。,That's tofu.
575,這是真的。,That's true.
576,他們擁抱。,They hugged.
577,他們親吻了。,They kissed.
578,這是冰塊。,This is ice.
579,湯姆臉紅了。,Tom blushed.
580,湯姆拍了手。,Tom clapped.
581,湯姆皺著眉頭。,Tom frowned.
582,湯姆胖了。,Tom got fat.
583,湯姆變胖了。,Tom got fat.
584,湯姆勝利了。,Tom has won.
585,湯姆生病了。,Tom is sick.
586,湯姆病了。,Tom is sick.
587,湯姆笑了。,Tom laughed.
588,湯姆打了個招呼。,Tom said hi.
589,湯姆看見你了。,Tom saw you.
590,湯姆會等。,Tom'll wait.
591,湯姆醉了。,Tom's drunk.
592,湯姆高興。,Tom's happy.
593,湯姆累了。,Tom's tired.
594,湯姆錯了。,Tom's wrong.
595,轉過來。,Turn around.
596,把它關掉。,Turn it off.
597,等等我。,Wait for me.
598,我錯了嗎？,Was I wrong?
599,我們都贏了。,We both won.
600,我們可以休息。,We can rest.
601,我們認識他。,We know him.
602,我們喜歡你們。,We like you.
603,我們愛湯姆。,We love Tom.
604,我們想要湯姆。,We want Tom.
605,我們要一個。,We want one.
606,煩死人。,What a pain!
607,太可惜了！,What a pity!
608,可惜。,What a pity!
609,多遺憾啊！,What a pity!
610,真是太可惜了！,What a pity!
611,有什麼新鮮事嗎？,What is new?
612,愛是什麼？,What's love?
613,那是什麼？,What's that?
614,這是什麼啊？,What's this?
615,這是什麼?,What's this?
616,湯姆在哪兒？,Where's Tom?
617,你是誰？,Who are you?
618,你是誰？,Who are you?
619,誰畫的？,Who drew it?
620,下一個是誰？,Who is next?
621,那是誰？,Who is that?
622,這是誰啊？,Who is that?
623,誰要死了？,Who's dying?
624,這是誰的？,Whose is it?
625,木頭會漂浮。,Wood floats.
626,幹活慢點。,Work slowly.
627,是的，我知道。,"Yes, I know."
628,你作弊了。,You cheated.
629,你做到了。,You made it.
630,你很愚蠢。,You're dumb.
631,你在這裡。,You're here.
632,你是我的。,You're mine.
633,你是安全的。,You're safe.
634,你有病！,You're sick!
635,有什麼新鮮事嗎？,Anything new?
636,你忙嗎？,Are you busy?
637,您在忙嗎？,Are you busy?
638,你做好了嗎?,Are you done?
639,你有空嗎?,Are you free?
640,您迷路了嗎？,Are you lost?
641,你迷路了嗎？,Are you lost?
642,你不要命啦！,Are you nuts?
643,你沒事吧？,Are you okay?
644,你確定嗎？,Are you sure?
645,你確定？,Are you sure?
646,現實點！,Be realistic!
647,現實點！,Be realistic.
648,帶他進來。,Bring him in.
649,現在給湯姆打電話。,Call Tom now.
650,我們能做到嗎？,Can we do it?
651,你能來嗎？,Can you come?
652,你能閱讀嗎？,Can you read?
653,您會唱歌嗎？,Can you sing?
654,你會游泳嗎?,Can you swim?
655,你能游泳嗎？,Can you swim?
656,你能走嗎？,Can you walk?
657,你們能走嗎？,Can you walk?
658,跟我走。,Come with me.
659,和我們一起來吧。,Come with us.
660,你打過電話了嗎？,Did you call?
661,你吸菸嗎?,Do you smoke?
662,你抽不抽菸？,Do you smoke?
663,您吸菸嗎？,Do you smoke?
664,盡力而為。,Do your best.
665,別傷心。,Don't be sad.
666,不要害羞。,Don't be shy.
667,不用麻煩了。,Don't bother.
668,別來煩我。,Don't bug me.
669,不要東拉西扯。,Don't ramble.
670,安全地駕駛。,Drive safely.
671,開車慢點。,Drive slowly.
672,調查下這個。,Examine this.
673,鬼魂是存在的。,Ghosts exist.
674,還回去,Give it back.
675,晚上好。,Good evening.
676,晚上好！,Good evening.
677,早上好！,Good morning.
678,他生氣了。,He got angry.
679,他有輛車。,He has a car.
680,他喜歡茶。,He likes tea.
681,他丟臉了。,He lost face.
682,他愛她。,He loves her.
683,他很勇敢。,He was brave.
684,他現在出去了。,He's out now.
685,真煩人。,How annoying!
686,真糟糕！,How horrible!
687,學校怎麼樣？,How's school?
688,我欣賞你。,I admire you.
689,我幾乎贏了。,I almost won.
690,我是華人。,I am Chinese.
691,我在家。,I am at home.
692,我在家裡。,I am at home.
693,我很好奇。,I am curious.
694,我吃蘋果了。,I ate apples.
695,我吃了蘋果。,I ate apples.
696,我吃了魚子醬。,I ate caviar.
697,我給湯姆打了電話。,I called Tom.
698,我不能留下。,I can't stay.
699,我不能走。,I can't walk.
700,我走不了。,I can't walk.
701,我也哭了。,"I cried, too."
702,我無所謂。,I don't care.
703,我一無所知。,I don't know.
704,我無所謂。,I don't mind.
705,我怕死。,I fear death.
706,我被搶劫了。,I got mugged.
707,我被搶劫了。,I got robbed.
708,我有一輛車。,I have a car.
709,我有一頭母牛。,I have a cow.
710,我有一條狗。,I have a dog.
711,我有一張地圖。,I have a map.
712,我有錢。,I have money.
713,我該走了。,I have to go.
714,我喜歡豆子。,I like beans.
715,我喜歡甜食。,I like candy.
716,我喜歡這些東西。,I like these.
717,我愛音樂。,I love music.
718,我想你。,I missed you.
719,我想念你。,I missed you.
720,我需要一輛出租車。,I need a cab.
721,我需要錢。,I need money.
722,我看到一本書。,I see a book.
723,我明白了。,I understand.
724,我懂。,I understand.
725,我要箱子。,I want a box.
726,我想要一隻狗。,I want a dog.
727,我想要個抱抱。,I want a hug.
728,我想要一張地圖。,I want a map.
729,我寫了那些東西。,I wrote that.
730,我要告你。,I'll sue you.
731,我是跑堂。,I'm a waiter.
732,我是服務員。,I'm a waiter.
733,我是服務生。,I'm a waiter.
734,我洗耳恭聽。,I'm all ears.
735,我在流血。,I'm bleeding.
736,我有糖尿病。,I'm diabetic.
737,我肚子餓極了。,I'm famished.
738,已經沒事了。,I'm fine now.
739,我現在有空了。,I'm free now.
740,我凍死了。,I'm freezing.
741,我是清白的。,I'm innocent.
742,我是新來的。,I'm new here.
743,我沒在忙。,I'm not busy.
744,我不懶。,I'm not lazy.
745,我沒生病。,I'm not sick.
746,我不確定。,I'm not sure.
747,我身體不適。,I'm not well.
748,我懷孕了。,I'm pregnant.
749,我改過自新了。,I'm reformed.
750,我好高興。,I'm so happy.
751,我太高興了。,I'm so happy.
752,我好累。,I'm so tired!
753,我好累啊。,I'm so tired!
754,我好累。,I'm so tired.
755,我好累啊。,I'm so tired.
756,我是最好的。,I'm the best.
757,我激動不已。,I'm thrilled.
758,這是我的錯。,I'm to blame.
759,我決定了。,I've decided.
760,我一無所知。,I've no idea.
761,我見過。,I've seen it.
762,想法很重要。,Ideas matter.
763,週一可以嗎？,Is Monday OK?
764,湯姆喝醉了嗎？,Is Tom drunk?
765,湯姆在嗎？,Is Tom there?
766,那是愛嗎？,Is that love?
767,真的？,Is that true?
768,這是不是豆腐？,Is this tofu?
769,太神奇了。,It's amazing.
770,睡覺時間到了。,It's bedtime.
771,很明顯。,It's obvious.
772,下雨了。,It's raining.
773,在下雨。,It's raining.
774,下雪了。,It's snowing.
775,正在下雪。,It's snowing.
776,太難了。,It's so hard.
777,它太大了。,It's too big.
778,太熱了。,It's too hot.
779,繼續看！,Keep looking.
780,繼續看。,Keep reading.
781,保持微笑。,Keep smiling.
782,繼續工作！,Keep working.
783,給湯姆活路！,Let Tom live.
784,讓我想一想。,Let me think.
785,我們現在去吧。,Let's go now.
786,人生會繼續。,Life goes on.
787,仔細看,Look closely.
788,瑪麗進來了。,Mary came in.
789,瑪麗很高。,Mary is tall.
790,我現在能去了嗎？,May I go now?
791,輕輕地移動。,Move quietly.
792,我的眼睛痛。,My eyes hurt.
793,沒有人知道。,No one knows.
794,誰也不知道。,No one knows.
795,沒人問過。,Nobody asked.
796,誰也不知道。,Nobody knows.
797,打開箱子。,Open the box.
798,請抓緊時間。,Please hurry.
799,請你離開。,Please leave.
800,請笑一笑！,Please smile.
801,一會兒見！,See you soon!
802,一會兒見！,See you soon!
803,到時候見。,See you then.
804,你真丟臉！,Shame on you!
805,你真丟臉！,Shame on you.
806,她很安靜。,She is quiet.
807,她心情不好。,She is upset.
808,她認識我。,She knows me.
809,她可以來。,She may come.
810,她也許來。,She may come.
811,有人來了。,Someone came.
812,你說話小點聲。,Speak softly.
813,和我們留在一起吧！,Stay with us.
814,別再傻看著。,Stop gawking.
815,別再唸了。,Stop reading.
816,別再盯著了。,Stop staring.
817,不要說話了。,Stop talking.
818,別再埋怨了。,Stop whining.
819,別再喊叫了！,Stop yelling!
820,祝你好夢。,Sweet dreams!
821,放輕鬆。,Take it easy.
822,別緊張。,Take it easy.
823,帶我回家。,Take me home.
824,告訴我們多一點。,Tell us more.
825,那是我的。,That is mine.
826,那是瘋狂的。,That's crazy.
827,那真是太好了。,That's great.
828,對了！,That's right!
829,對！,That's right.
830,奇怪。,That's weird.
831,不對。,That's wrong.
832,他們拒絕了。,They refused.
833,它們是假的。,They're fake.
834,他們離開了。,They're gone.
835,他們是孩子。,They're kids.
836,她們是孩子。,They're kids.
837,這是我的。,This is mine.
838,這很棒。,This is neat.
839,這是豆腐。,This is tofu.
840,這是真的。,This is true.
841,湯姆能走路。,Tom can walk.
842,湯姆跟著。,Tom followed.
843,湯姆瞎了。,Tom is blind.
844,湯姆是乾淨的。,Tom is clean.
845,湯姆醉了。,Tom is drunk.
846,湯姆高興。,Tom is happy.
847,湯姆腦子好使。,Tom is smart.
848,湯姆累了。,Tom is tired.
849,湯姆剛吃完飯。,Tom just ate.
850,Tom認識我。,Tom knows me.
851,湯姆坐下了。,Tom sat down.
852,湯姆告訴了他。,Tom told him.
853,湯姆不見了。,Tom vanished.
854,湯姆飽了。,Tom was full.
855,湯姆很孤獨。,Tom's lonely.
856,湯姆今年三十歲。,Tom's thirty.
857,湯姆，快起來！,"Tom, wake up."
858,再試一次。,Try it again.
859,再試一下。,Try it again.
860,難以置信!,Unbelievable!
861,難以置信！,Unbelievable!
862,投票給湯姆。,Vote for Tom.
863,走著瞧,Wait and see.
864,我們很快樂。,We are happy.
865,我們能開始。,We can begin.
866,我們知道。,We know that.
867,我們知道。,We know this.
868,我們需要更多。,We need more.
869,我們睡過頭了。,We overslept.
870,我們成功了。,We succeeded.
871,我們投降。,We surrender.
872,我們已是成年人了。,We're adults.
873,我們是英雄。,We're heroes.
874,我們在藏著。,We're hiding.
875,我們是人。,We're humans.
876,我們是人。,We're people.
877,歡迎回來。,Welcome back.
878,歡迎回家。,Welcome home.
879,愛是什麼？,What is love?
880,那是什麼？,What is that?
881,那是什麼啊？,What is that?
882,這是什麼啊？,What is this?
883,這是什麼?,What is this?
884,湯姆在哪兒？,Where is Tom?
885,這是誰建的？,Who built it?
886,誰想要它？,Who wants it?
887,誰來了這裡？,Who was here?
888,多少年過去了。,Years passed.
889,你很好。,You are good.
890,你喝醉了！,You're drunk.
891,你在撒謊。,You're lying.
892,你很聰明。,You're sharp.
